Timestamp,Room,X Ref,Y Ref,W Ref,BSSID,SSID,RSSI,Channel
16:55.1,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-75,6
16:55.1,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-76,6
16:55.1,CIB215,1,1,1,00:19:07:36:49:50,ntu-staff,-77,6
16:55.1,CIB215,1,1,1,00:19:07:36:49:57,,-76,6
16:55.1,CIB215,1,1,1,00:19:07:36:49:56,,-76,6
16:55.1,CIB215,1,1,1,00:19:07:36:49:55,ntu-wirelessHelp,-75,6
16:55.1,CIB215,1,1,1,00:19:07:36:49:54,ntu-visitor,-76,6
16:55.1,CIB215,1,1,1,00:13:5f:f9:c1:23,ntu-mobile,-94,11
16:56.3,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-60,6
16:56.3,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-60,6
16:56.3,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-59,6
16:56.3,CIB215,1,1,1,00:19:07:36:49:50,ntu-staff,-60,6
16:56.3,CIB215,1,1,1,00:19:07:36:49:57,,-61,6
16:56.3,CIB215,1,1,1,00:19:07:36:49:56,,-60,6
16:56.3,CIB215,1,1,1,00:19:07:36:49:55,ntu-wirelessHelp,-60,6
16:56.3,CIB215,1,1,1,00:19:07:36:49:54,ntu-visitor,-60,6
16:56.3,CIB215,1,1,1,00:13:5f:f9:c1:23,ntu-mobile,-94,11
17:10.8,CIB215,1,2,1,00:19:07:36:49:51,ntu-student,-71,6
17:10.8,CIB215,1,2,1,00:19:07:36:49:53,ntu-mobile,-71,6
17:10.8,CIB215,1,2,1,00:19:07:36:49:52,eduroam,-71,6
17:10.8,CIB215,1,2,1,00:19:07:36:49:50,ntu-staff,-71,6
17:10.8,CIB215,1,2,1,00:19:07:36:49:57,,-71,6
17:10.8,CIB215,1,2,1,00:19:07:36:49:56,,-71,6
17:10.8,CIB215,1,2,1,00:19:07:36:49:55,ntu-wirelessHelp,-70,6
17:10.8,CIB215,1,2,1,00:19:07:36:49:54,ntu-visitor,-70,6
17:12.0,CIB215,1,2,1,00:19:07:36:49:51,ntu-student,-73,6
17:12.0,CIB215,1,2,1,00:19:07:36:49:53,ntu-mobile,-73,6
17:12.0,CIB215,1,2,1,00:19:07:36:49:52,eduroam,-73,6
17:12.0,CIB215,1,2,1,00:19:07:36:49:50,ntu-staff,-73,6
17:12.0,CIB215,1,2,1,00:19:07:36:49:57,,-73,6
17:12.0,CIB215,1,2,1,00:19:07:36:49:56,,-74,6
17:12.0,CIB215,1,2,1,00:19:07:36:49:55,ntu-wirelessHelp,-72,6
17:12.0,CIB215,1,2,1,00:19:07:36:49:54,ntu-visitor,-73,6
17:13.2,CIB215,1,2,1,00:19:07:36:49:51,ntu-student,-73,6
17:13.2,CIB215,1,2,1,00:19:07:36:49:53,ntu-mobile,-72,6
17:13.2,CIB215,1,2,1,00:19:07:36:49:52,eduroam,-73,6
