timestamp;orient0;orient1;orient2;linAcc0;linAcc1;linAcc2;iR0;iR1;iR2;iR3;iR4;iR5;iR6;iR7;iR8;iR9;iR10;iR11;iR12;iR13;iR14;iR15
2013-11-07 16:36:08.524;0.804091;-0.04182177;-0.13915192;0.51191026;-0.39998132;0.7733272;0.6828838;-0.7172621;0.13858199;0.0;0.7195706;0.69315964;0.041809563;0.0;-0.12604788;0.071168445;0.9894681;0.0;0.0;0.0;0.0;1.0000001
2013-11-07 16:36:08.557;0.82356554;-0.045670267;-0.14303115;0.5439327;-0.18749592;2.0239983;0.6678963;-0.7305056;0.14239533;0.0;0.7328088;0.67890143;0.04565441;0.0;-0.13002317;0.073856145;0.9887565;0.0;0.0;0.0;0.0;1.0000001
2013-11-07 16:36:08.597;0.8201014;-0.048145574;-0.15213132;0.50023854;0.49335518;0.29059622;0.66893536;-0.72774476;0.15136954;0.0;0.7303676;0.6813565;0.048126973;0.0;-0.1381608;0.07836158;0.9873048;0.0;0.0;0.0;0.0;1.0
2013-11-07 16:36:08.630;0.8424155;-0.050956063;-0.12969728;-1.6307507;1.369633;3.6882677;0.6551555;-0.7443706;0.12916611;0.0;0.7452846;0.6647982;0.050934024;0.0;-0.12378317;0.06289581;0.990314;0.0;0.0;0.0;0.0;1.0
2013-11-07 16:36:08.662;0.85298115;-0.052744176;-0.08918656;-2.0587142;0.6733692;5.7228904;0.6515894;-0.75333923;0.0889445;0.0;0.75219697;0.65682584;0.052719716;0.0;-0.09813689;0.032552183;0.99464035;0.0;0.0;0.0;0.0;1.0
2013-11-07 16:36:08.702;0.775457;-0.046022;-0.10620896;-0.49634793;0.65900403;-1.2982559;0.70666325;-0.69958055;0.10589715;0.0;0.69930136;0.71334505;0.04600575;0.0;-0.10772595;0.041543446;0.99331224;0.0;0.0;0.0;0.0;1.0
2013-11-07 16:36:08.744;0.7572971;-0.035331786;-0.13312161;-0.100257196;0.7110779;-3.575441;0.71704507;-0.684289;0.13264592;0.0;0.68653107;0.7262419;0.035324432;0.0;-0.120505154;0.06573634;0.99053377;0.0;0.0;0.0;0.0;1.0
2013-11-07 16:36:08.785;0.7609836;-0.02296666;-0.124146745;-0.9256582;0.12360066;-0.6669348;0.71662354;-0.68638563;0.123795435;0.0;0.6894521;0.7239671;0.022964643;0.0;-0.105386406;0.06889402;0.99204206;0.0;0.0;0.0;0.0;1.0
2013-11-07 16:36:08.825;0.7365003;-0.008941906;-0.107512735;-0.70284784;-0.013018472;0.34760815;0.7359018;-0.6685317;0.10730144;0.0;0.67167234;0.7407941;0.008941779;0.0;-0.08546615;0.06549115;0.9941863;0.0;0.0;0.0;0.0;1.0
2013-11-07 16:36:08.865;0.69644636;0.0038147606;-0.11034885;0.041599255;-0.1225532;-1.8152539;0.7627304;-0.6372717;0.110124245;0.0;0.6414911;0.7671212;-0.0038147424;0.0;-0.0820476;0.07355333;0.99391055;0.0;0.0;0.0;0.0;1.0000001
2013-11-07 16:36:08.899;0.6831885;0.010773018;-0.11496114;0.1714847;0.06299743;-2.7721863;0.7712247;-0.6261439;0.11470143;0.0;0.63123244;0.7755189;-0.010772807;0.0;-0.082207784;0.08071152;0.99334157;0.0;0.0;0.0;0.0;0.9999999
2013-11-07 16:36:08.942;0.68437874;0.018189618;-0.10655846;0.102651395;0.19078794;-1.8082209;0.7716402;-0.62710714;0.10633932;0.0;0.63208723;0.7746838;-0.018188618;0.0;-0.070973136;0.081250794;0.9941635;0.0;0.0;0.0;0.0;1.0
2013-11-07 16:36:08.986;0.66171414;0.025973607;-0.09482508;0.4758476;0.039653964;-0.4091092;0.78690666;-0.6097696;0.09465109;0.0;0.6142629;0.78867394;-0.025970679;0.0;-0.05881273;0.07857715;0.99517167;0.0;0.0;0.0;0.0;1.0
2013-11-07 16:36:09.024;0.6092121;0.02901136;-0.093913265;1.1192893;0.1352724;-0.5515642;0.81804186;-0.5674692;0.09373582;0.0;0.5719808;0.8197541;-0.0290073;0.0;-0.06037958;0.07734426;0.9951746;0.0;0.0;0.0;0.0;1.0000001
2013-11-07 16:36:09.056;0.5852766;0.027057322;-0.09927527;1.6654665;0.21906945;-1.0259154;0.8309363;-0.54747486;0.099076;0.0;0.5522278;0.83325416;-0.02705402;0.0;-0.0677441;0.07719269;0.994712;0.0;0.0;0.0;0.0;1.0
2013-11-07 16:36:09.073;0.57202667;0.026629815;-0.1032015;1.5816694;0.24959552;-0.83782095;0.83781695;-0.5361506;0.10298188;0.0;0.54114515;0.8405075;-0.026626673;0.0;-0.07228114;0.07803643;0.99432683;0.0;0.0;0.0;0.0;1.0
2013-11-07 16:36:09.092;0.56738186;0.027240679;-0.104708344;1.043872;0.20649989;0.043843817;0.8402222;-0.53208184;0.104478344;0.0;0.5372266;0.8429981;-0.027237311;0.0;-0.07358257;0.079013936;0.9941541;0.0;0.0;0.0;0.0;1.0000001
2013-11-07 16:36:09.129;0.56646395;0.02485951;-0.095053;-0.03755904;0.24899697;2.8649616;0.84126097;-0.53223854;0.094880626;0.0;0.53648597;0.84354323;-0.02485694;0.0;-0.06680606;0.071813285;0.99517834;0.0;0.0;0.0;0.0;1.0000001
2013-11-07 16:36:09.170;0.55800676;0.010940918;-0.08274205;0.12554595;0.031124622;2.5668836;0.8458888;-0.5269179;0.08264273;0.0;0.5294648;0.84826154;-0.010940702;0.0;-0.06433779;0.053011023;0.9965193;0.0;0.0;0.0;0.0;1.0000001
2013-11-07 16:36:09.211;0.56066597;-0.0015106389;-0.0663337;-0.58792615;-0.44891283;3.2246904;0.8449853;-0.53066564;0.066284984;0.0;0.53174967;0.8469002;0.001510635;0.0;-0.056938414;0.033970553;0.99779963;0.0;0.0;0.0;0.0;1.0
2013-11-07 16:36:09.252;0.5755992;-0.008331408;-0.044067986;-1.1001357;-0.81148475;3.2643445;0.8378521;-0.544117;0.044052195;0.0;0.5443186;0.83883727;0.008331314;0.0;-0.041485827;0.016998021;0.9989946;0.0;0.0;0.0;0.0;1.0
2013-11-07 16:36:09.293;0.5540116;-0.012970378;-0.06257682;-0.060303956;-0.80549926;-1.4779706;0.8483296;-0.52576303;0.062530726;0.0;0.5260588;0.8503493;0.012970014;0.0;-0.05999212;0.021891993;0.9979587;0.0;0.0;0.0;0.0;1.0
2013-11-07 16:36:09.324;0.578589;-0.01097135;-0.08338454;0.27967268;-0.97144735;-3.181146;0.83382636;-0.5457082;0.083282925;0.0;0.5468102;0.8371846;0.01097113;0.0;-0.07571022;0.03639194;0.99646556;0.0;0.0;0.0;0.0;0.9999999
